frame_number,timestamp_ms,landmark_name,x,y,z
142,117676778,pose_RIGHT_INDEX,0.19598,0.70653,-0.25088
142,117676778,pose_LEFT_THUMB,0.48085,0.62602,-0.18333
142,117676778,pose_RIGHT_THUMB,0.18209,0.69164,-0.21916
142,117676778,pose_LEFT_HIP,0.05837,0.95019,0.04203
142,117676778,pose_RIGHT_HIP,-0.03292,0.95818,-0.04067
142,117676778,pose_LEFT_KNEE,0.08844,1.32052,0.14898
142,117676778,pose_RIGHT_KNEE,-0.0322,1.32725,0.00182
142,117676778,pose_LEFT_ANKLE,0.09799,1.6644,0.40046
142,117676778,pose_RIGHT_ANKLE,-0.02616,1.66341,0.15388
142,117676778,pose_LEFT_HEEL,0.09482,1.71282,0.40901
142,117676778,pose_RIGHT_HEEL,-0.04073,1.7202,0.15653
142,117676778,pose_LEFT_FOOT_INDEX,0.12831,1.74569,0.18136
142,117676778,pose_RIGHT_FOOT_INDEX,0.02281,1.76342,-0.10453
143,117676911,pose_LEFT_SHOULDER,0.12715,0.42142,-0.13289
143,117676911,pose_RIGHT_SHOULDER,-0.07762,0.44256,-0.21429
143,117676911,pose_LEFT_ELBOW,0.28265,0.55522,-0.13452
143,117676911,pose_RIGHT_ELBOW,-0.07286,0.63949,-0.21693
143,117676911,pose_LEFT_WRIST,0.48867,0.58521,-0.29046
143,117676911,pose_RIGHT_WRIST,0.02577,0.74153,-0.24931
143,117676911,pose_LEFT_PINKY,0.55279,0.59318,-0.31168
143,117676911,pose_RIGHT_PINKY,0.05733,0.79753,-0.26965
143,117676911,pose_LEFT_INDEX,0.55139,0.57009,-0.37991
143,117676911,pose_RIGHT_INDEX,0.07424,0.77248,-0.30605
143,117676911,pose_LEFT_THUMB,0.532,0.59702,-0.32633
143,117676911,pose_RIGHT_THUMB,0.05992,0.75267,-0.26975
143,117676911,pose_LEFT_HIP,0.09465,0.95744,-0.01015
143,117676911,pose_RIGHT_HIP,-0.01736,0.96174,0.01199
143,117676911,pose_LEFT_KNEE,0.12724,1.32796,0.08129
143,117676911,pose_RIGHT_KNEE,-0.02273,1.32854,0.01166
143,117676911,pose_LEFT_ANKLE,0.13248,1.68182,0.3773
143,117676911,pose_RIGHT_ANKLE,-0.00452,1.66646,0.18643
143,117676911,pose_LEFT_HEEL,0.13629,1.72822,0.38965
143,117676911,pose_RIGHT_HEEL,-0.00505,1.71237,0.1897
143,117676911,pose_LEFT_FOOT_INDEX,0.12849,1.77293,0.10352
143,117676911,pose_RIGHT_FOOT_INDEX,0.01982,1.7711,-0.07608
145,117676978,pose_LEFT_SHOULDER,0.14366,0.42269,-0.14907
145,117676978,pose_RIGHT_SHOULDER,-0.03989,0.4404,-0.22981
145,117676978,pose_LEFT_ELBOW,0.3082,0.5531,-0.09934
145,117676978,pose_RIGHT_ELBOW,0.05438,0.60384,-0.23741
145,117676978,pose_LEFT_WRIST,0.52189,0.58989,-0.30728
145,117676978,pose_RIGHT_WRIST,0.21676,0.60871,-0.37829
145,117676978,pose_LEFT_PINKY,0.58252,0.59145,-0.32905
145,117676978,pose_RIGHT_PINKY,0.26483,0.63072,-0.39432
145,117676978,pose_LEFT_INDEX,0.60389,0.58003,-0.38917
145,117676978,pose_RIGHT_INDEX,0.26576,0.60535,-0.43867
145,117676978,pose_LEFT_THUMB,0.57534,0.58873,-0.33888
