frame_number,timestamp_ms,landmark_name,visible,x,y,z
26,866,pose_RIGHT_ELBOW,0.98743,0.43919,0.42466,-0.14677
26,866,pose_LEFT_WRIST,0.26535,0.44259,0.47212,0.11259
26,866,pose_RIGHT_WRIST,0.9663,0.47859,0.3985,-0.06635
26,866,pose_LEFT_PINKY,0.27912,0.44665,0.48594,0.10848
26,866,pose_RIGHT_PINKY,0.94944,0.48561,0.39759,-0.06947
26,866,pose_LEFT_INDEX,0.28966,0.44894,0.47481,0.09693
26,866,pose_RIGHT_INDEX,0.9466,0.48408,0.37886,-0.0565
26,866,pose_LEFT_THUMB,0.28485,0.44745,0.47064,0.10369
26,866,pose_RIGHT_THUMB,0.91086,0.47979,0.38234,-0.05571
26,866,pose_LEFT_HIP,0.99944,0.46081,0.55354,0.10102
26,866,pose_RIGHT_HIP,0.99908,0.46436,0.54014,-0.10121
26,866,pose_LEFT_KNEE,0.74063,0.48832,0.71136,0.10344
26,866,pose_RIGHT_KNEE,0.98354,0.55817,0.58409,-0.08463
26,866,pose_LEFT_ANKLE,0.89987,0.46732,0.85934,0.03983
26,866,pose_RIGHT_ANKLE,0.97112,0.49936,0.68097,-0.04332
26,866,pose_LEFT_HEEL,0.90079,0.45681,0.88565,0.03081
26,866,pose_RIGHT_HEEL,0.91137,0.4813,0.68446,-0.03431
26,866,pose_LEFT_FOOT_INDEX,0.9367,0.49996,0.88717,0.00171
26,866,pose_RIGHT_FOOT_INDEX,0.97378,0.5067,0.75152,0.01969
28,933,pose_LEFT_SHOULDER,0.99929,0.43085,0.32356,0.15509
28,933,pose_RIGHT_SHOULDER,0.99995,0.42402,0.31392,-0.11271
28,933,pose_LEFT_ELBOW,0.12689,0.43809,0.42501,0.21453
28,933,pose_RIGHT_ELBOW,0.98512,0.44442,0.42862,-0.18312
28,933,pose_LEFT_WRIST,0.22767,0.45206,0.47187,0.21087
28,933,pose_RIGHT_WRIST,0.95234,0.48651,0.40239,-0.16383
28,933,pose_LEFT_PINKY,0.24254,0.45556,0.48944,0.21743
28,933,pose_RIGHT_PINKY,0.93207,0.49855,0.40529,-0.17609
28,933,pose_LEFT_INDEX,0.25081,0.45778,0.47895,0.20323
28,933,pose_RIGHT_INDEX,0.9289,0.49829,0.38449,-0.16227
28,933,pose_LEFT_THUMB,0.24686,0.45674,0.47276,0.20404
28,933,pose_RIGHT_THUMB,0.88782,0.49101,0.38567,-0.1552
28,933,pose_LEFT_HIP,0.99954,0.46999,0.54495,0.09757
28,933,pose_RIGHT_HIP,0.99924,0.4733,0.52701,-0.09784
28,933,pose_LEFT_KNEE,0.77817,0.49369,0.69594,0.06811
28,933,pose_RIGHT_KNEE,0.98378,0.56749,0.48013,-0.03039
28,933,pose_LEFT_ANKLE,0.91455,0.47154,0.85528,0.01988
28,933,pose_RIGHT_ANKLE,0.9668,0.53656,0.62773,0.06246
28,933,pose_LEFT_HEEL,0.91668,0.45786,0.88243,0.01362
28,933,pose_RIGHT_HEEL,0.91559,0.51787,0.63672,0.07333
28,933,pose_LEFT_FOOT_INDEX,0.94248,0.50024,0.88826,-0.01415
28,933,pose_RIGHT_FOOT_INDEX,0.96609,0.54668,0.67367,0.10847
30,1000,pose_LEFT_SHOULDER,0.99931,0.43881,0.32917,0.15731
